Subject,Accuracy,Sensitivity,Specificity,F1_score,Precision
A01,0.991525423728814,1,0.978260869565217,0.993103448275862,0.986301369863014
A02,1,1,1,1,1
A03,1,1,1,1,1
A05,0.955223880597015,0.940298507462687,0.970149253731343,0.954545454545455,0.969230769230769
A06,0.954198473282443,0.958333333333333,0.949152542372881,0.958333333333333,0.958333333333333
A07,0.931818181818182,0.958333333333333,0.9,0.938775510204082,0.92
A08,0.984,0.971830985915493,1,0.985714285714286,1
A09,1,1,1,1,1
