Subject,Accuracy,Sensitivity,Specificity,F1_score,Precision,Acc_SD
A01,0.830508474576271,0.861111111111111,0.782608695652174,0.861111111111111,0.861111111111111,0.0297289177170014
A02,0.983606557377049,0.972222222222222,1,0.985915492957746,1,0.0228217732293819
A03,1,1,1,1,1,0
A05,0.828358208955224,0.805970149253731,0.850746268656716,0.82442748091603,0.84375,0.0888779305101394
A06,0.862595419847328,0.875,0.847457627118644,0.875,0.875,0.0201605957990789
A07,0.78030303030303,0.75,0.816666666666667,0.788321167883211,0.830769230769231,0.0967067568300389
A08,0.912,0.915492957746479,0.907407407407407,0.921985815602837,0.928571428571429,0.0521536192416212
A09,1,1,1,1,1,0
